camp_label,target_n,collected_n,remaining_n,progress_pct,missing_camp_rows,missing_farmerid_rows,unmapped_camp_codes
Ndanda Eest,12,0,12,0.0,0,0,
Ushaa,11,0,11,0.0,0,0,
Nangili,10,0,10,0.0,0,0,
Sitoya,10,0,10,0.0,0,0,
Liliachi,6,0,6,0.0,0,0,
Sefla,6,0,6,0.0,0,0,
Limulunga North,8,1,7,12.5,0,0,
Namusheshe,15,2,13,13.333333333333334,0,0,
Kama,7,3,4,42.857142857142854,0,0,
Ikabako,9,6,3,66.66666666666667,0,0,
Muoyo,9,6,3,66.66666666666667,0,0,
Litawa,10,8,2,80.0,0,0,
Tapo,10,8,2,80.0,0,0,
Litoya,12,10,2,83.33333333333333,0,0,
Nalwei,7,6,1,85.71428571428571,0,0,
Limulunga South,13,13,0,100.0,0,0,
Nakanya,10,10,0,100.0,0,0,
Namushakende,12,12,0,100.0,0,0,
Nasilimwe,13,13,0,100.0,0,0,
Ndanda West,9,9,0,100.0,0,0,
Simaa,10,10,0,100.0,0,0,
